Acacia	Acalypha	Acanthaceae undiff.	Aciotis	Aegiphila	Alchornea	Allophylus	Alnus	Alternanthera	Amaranthaceae undiff.	Amaryllidaceae	Ambrosia	Anacardium	Anthodon	Apiaceae	Apocynaceae undiff.	Araliaceae undiff.	Arecaceae	Asteraceae subf. Asteroideae undiff.	Asteraceae subf. Cichorioideae	Banara	Begonia	Bignoniaceae undiff.	Blepharandra	Borreria	Brassicaceae	Brosimum	Bursera	Buxus	Byrsonima	Cactaceae	Caesalpinia	Caryocar	Caryodendron	Casearia	Cassia	Cayaponia	Cecropia	Celtis	Centropogon	Cissus	Combretum	Commiphora	Connarus	Convolvulaceae undiff.	Cordia	Croton	Cucurbitaceae undiff.	Cupania	Cyperaceae	Dalbergia	Dalea	Dendropanax	Dodonaea	Doliocarpus	Drymaria	Ericaceae undiff.	Eugenia	Euphorbiaceae undiff.	Fabaceae undiff.	Faramea	Ficus	Genipa	Gouania	Guettarda	Gustavia	Gymnanthes	Hedyosmum	Heisteria	Hevea	Hieronyma	Hymenaea	Hyptis	Ilex	Inga	Iresine	Juglans	Justicia	Lamiaceae undiff.	Lauraceae	Licania	Liliaceae	Lindernia	Liquidambar	Loranthaceae	Loxopterygium	Ludwigia	Machaerium	Malpighiaceae undiff.	Malvaceae subf. Bombacoideae	Malvaceae subf. Tilioideae undiff.	Malvaceae undiff.	Mandevilla	Maripa	Mecardonia	Melastomataceae undiff.	Meliaceae undiff.	Mimosa	Moraceae undiff.	Myrica	Myrsine	Myrtaceae undiff.	Olacaceae undiff.	Oxalidaceae	Passiflora	Paullinia	Peltogyne	Petiveria	Phyllanthus	Physalis	Picea	Pinus	Piper	Poaceae undiff.	Polygala	Polygonum	Portulacaceae	Prestonia	Protium	Psychotria	Pteridophyta	Pterocarpus	Quercus	Rheedia	Rubiaceae undiff.	Sabiaceae	Sagittaria	Salvia	Sapium	Sapotaceae	Schinus	Scoparia	Sebastiania	Serjania	Sicydium	Siparuna	Siphocampylus	Solanum	Spondias	Stemodia	Strychnos	Syngonium	Tabebuia	Tanaecium	Theobroma	Tournefortia	Tovomita	Toxicodendron	Trema	Trichanthera	Trichilia	Triplaris	Typha	Ulmus	Unknown (big-walled)	Unknown (type A)	Unknown (type C)	Unknown (type I)	Unknown (type II)	Unknown (type XX)	Unknown Z	Virola	Vismia	Vitex	Vitis	Zanthoxylum	Zea	aff. Astronium	aff. Casuarina	aff. Colubrina	aff. Dalechampia	aff. Fissicalyx	aff. Gaylussacia	aff. Malvaceae	aff. Melanoxylon	aff. Posoqueria	aff. Trichilia	aff. Triumfetta
8	10			1			2		13	2	1						1	23			19			1		1	3		2									11					5	1					45		1						1				1	1			1						1			1	6								3				5								1	1	1	11	2	1											90		48		1	3		3	1	5		55						1										1										3				28	4												1												
9							3		9		5						2	24			10			1		4	1		5		2				2			9					4	7					126				1				2			3	2									1	1				6												1									3	3	26			1										160		72			2		3		18		64					1	4										5										7				3	4												1			5									
9							4		9		2							17			21					6	10	1			1							6			2					5			34								4		1		4						3				1				3								1			1											4	33	4	1					1						105		35					1		10		58				3												2				1						2					2										5														
10					2		2		6		3							13			20	1				8		1			7	1						8					2	3		2			132								5		1		5	1			2									4	4							1	2				1								2	1	1	55	5	3					1						189		51		1	1		7		47		101						3					1					1						2	1			16				3	4															3									
4							3											5			1	1				13	19		4		6				4			12						8		12							1				4	1			7				1						1						1								2	1	2	1							10			70					2		1						110		27		2			4		19	1	129			2			14										7							1			25		1		14	8	1									1		1												
6							3	1	1		4							8			30					1	10		5		8			1	6			8	1				6	11		7											9		1												2	1			1							1					3								10		1	3		2	1				3						131		37					1		2		193			1			18										3										2				6	7												4			2									
10					1		4				5							12			3					2	3	1	6		3				4		1	4					1	4		3			187								12	1			1				1									2									1				6	1							13		1	12	4		3		1		4						132		43			3		3		3		155						18									1	2										3					8												4												
7							6				3						1	9			10				1	1	2				6			1				15					4	9	1	4			183								9				8											1		2	1												1								4			57		1					1						86		50			1		1		4		171						21										7										11				3	3										3		2			5									
4							3										1	3			4	1		1		1	5		1		6				5			6					8	14	3	2			49				1			1	6		1		1	2								2	1	2		3								1	3				5				1				9			9	2	3					2						343		31					1		7		188			2			39					1															2	1				5															6									
4							6	1	1	1	6							5			8	2				1	1		8		6				2			8					4	4		7			282								10		1		1				1					1	5			1	1		1					1					4	2							14	1	2	13	4	1	1				1						88		70			1		4		6		224			1			10					1					4						1			2	2					10						1				1					2									
4							2				4							7			11					4	3	1	4		6	1					1	10	1				3	9		4			164						2		15		2		9			1	1					1		1										2			1		1	1		1		1			13			11	1	1					4						152		59			1		3		4	1	203			2		1	16	1									2										6				5	12	1									2	1	1			6									
							8		2		2							6	1		17			1		1	6				1							15			2					10			11				1				3		1		6						3			1	5				1	1							1	1			1								6		1	22							3						85		40	1				2		6		222		1										1				14															8										8										1				
5							9		2		2							6			7	2		1		2	1	1	4		5				4			6					11	8	2	7			128							1	7				1						1				2		1									1	1				2	2				1			4	2	1	10	2		1				1						122		55					2		4	1	204						23					1					2										2				6	10												1			3									
