Acacia	Acalypha	Acanthaceae undiff.	Aciotis	Aegiphila	Alchornea	Allophylus	Alnus	Alternanthera	Amaranthaceae undiff.	Amaryllidaceae	Ambrosia	Anacardium	Anthodon	Apiaceae	Apocynaceae undiff.	Araliaceae undiff.	Arecaceae	Asteraceae subf. Asteroideae undiff.	Asteraceae subf. Cichorioideae	Banara	Begonia	Bignoniaceae undiff.	Blepharandra	Borreria	Brassicaceae	Brosimum	Bursera	Buxus	Byrsonima	Cactaceae	Caesalpinia	Caryocar	Caryodendron	Casearia	Cassia	Cayaponia	Cecropia	Celtis	Centropogon	Cissus	Combretum	Commiphora	Connarus	Convolvulaceae undiff.	Cordia	Croton	Cucurbitaceae undiff.	Cupania	Cyperaceae	Dalbergia	Dalea	Dendropanax	Dodonaea	Doliocarpus	Drymaria	Ericaceae undiff.	Eugenia	Euphorbiaceae undiff.	Fabaceae undiff.	Faramea	Ficus	Genipa	Gouania	Guettarda	Gustavia	Gymnanthes	Hedyosmum	Heisteria	Hevea	Hieronyma	Hymenaea	Hyptis	Ilex	Inga	Iresine	Juglans	Justicia	Lamiaceae undiff.	Lauraceae	Licania	Liliaceae	Lindernia	Liquidambar	Loranthaceae	Loxopterygium	Ludwigia	Machaerium	Malpighiaceae undiff.	Malvaceae subf. Bombacoideae	Malvaceae subf. Tilioideae undiff.	Malvaceae undiff.	Mandevilla	Maripa	Mecardonia	Melastomataceae undiff.	Meliaceae undiff.	Mimosa	Moraceae undiff.	Myrica	Myrsine	Myrtaceae undiff.	Olacaceae undiff.	Oxalidaceae	Passiflora	Paullinia	Peltogyne	Petiveria	Phyllanthus	Physalis	Picea	Pinus	Piper	Poaceae undiff.	Polygala	Polygonum	Portulacaceae	Prestonia	Protium	Psychotria	Pteridophyta	Pterocarpus	Quercus	Rheedia	Rubiaceae undiff.	Sabiaceae	Sagittaria	Salvia	Sapium	Sapotaceae	Schinus	Scoparia	Sebastiania	Serjania	Sicydium	Siparuna	Siphocampylus	Solanum	Spondias	Stemodia	Strychnos	Syngonium	Tabebuia	Tanaecium	Theobroma	Tournefortia	Tovomita	Toxicodendron	Trema	Trichanthera	Trichilia	Triplaris	Typha	Ulmus	Unknown (big-walled)	Unknown (type A)	Unknown (type C)	Unknown (type I)	Unknown (type II)	Unknown (type XX)	Unknown Z	Virola	Vismia	Vitex	Vitis	Zanthoxylum	Zea	aff. Astronium	aff. Casuarina	aff. Colubrina	aff. Dalechampia	aff. Fissicalyx	aff. Gaylussacia	aff. Malvaceae	aff. Melanoxylon	aff. Posoqueria	aff. Trichilia	aff. Triumfetta
							8				9							7			8			1					3		10				2			35					2	10		4			122				1				1		1	1		5			4		2				1		4			5						1					2	1							5		1	7	23	5	4										462		35			1				6		457						22					1					5						1								1	1										1	3	2			2									
							4		1		1						1	7			4	2					1	2			9							52						10	1	2			60								2		1			1			1								5			4	1					1					1	1							14			2	11						1						372		26					4		3		384			2			25										5														2	3										3		1			2									
1							1	1		1	3						1	8			2				2				2		8				1			36	2				7	8		8			157								3	1									1				11		2			6						3	1				5								7		1	5	10	4	2				2						481		46			3		3		7		371			2			23										6							1			4				2											1		4			1									
3							4		2		33							28			22			1				1	2		3			1				10					2	3	1	7			189				1				4		1	1	1				1		1				1				2	2	1										6	1							5	1	1	6	15	3	2				1						385		44			2		4		6		282			1			4										2														1											3		1			2									
							8	1			6							6			9			2			1		1		5			1	2			24					9	5		6			244								4							1									2	1	1	4	1					1	3				2	1		1					4			3	12	3	1				1						211		42		1	1		3		10		334			1			11	1									4														1											1		2			2									
				1			16			2	3							9			12	4			2	1	2		4		22				5			32						8	2	11			62				3				5			3					1						6		3			3	1						1	2		1	1								10			2	20	3	2										552		55					2		21	2	649			1			11					1				1	8																1									2		6			3									
							8				9							9			11						2	1	23		9				4			8						6		7	1		139				1				3	1			2				4		1				1	2	2	1		1						1	1				1	7							9			8	9		3		1	1							531		27			1		2		33		509						18										3							4							2											1	1	10			1									
1							3	1	1		5							9			6	2					2	2			17	1						22					17	2		3			422								9					1									2					2								1		1	3	2							3		1		1		4				3						200		67					1		14		286			1			6										4							2			1				6	1										2		1			1									
							10	1			4							24			4	2			3		1				18				11			6						5	1	5	3		140				1			1		1	1		1										2			1		1	1					1					11	1							2		2	3	5		8		3								255		24					2		13	1	380						6					1				2	14										1				1											3		5			1									
1							3				2							1			5					2			5		1				1			18					8	1		2			266				1				2		1												2				1	2							2					1							1				2												105		118					1		2	1	102						6										3							1																		3		3			4									
5	1						2				1							12			8			1		1			1		25							35					1	2		3			426				5				2																	1	3								1				1								5		3	5	13	2	2		6								135		26		1	1		1		4		171																16														7											2		7									1			
7							5				1							8			10							1	2		6				2			37					9	1					449				8			1	8							1										1	1	1						1					2					1				2	4	2	4		2										145		80					3		3		131			1				1								1	4															1										1														
5							4								1			13			4	1		1					6		5				1			32					6	2		1			239				6				7				1										1				1													1							1	2		4	1												92		94					1		4		110						3	1									2							1			2															2		2												
2				2			9		4	1	4							18			8	4		1	5			4	4		17				4			47						19	2	4	1		258				18				8		1						9						3	2	1	1	2	3								1			8								26			6	28	2	6										377		75			6		3		17	2	386						21	2				1				4	7										1															2	1	8			2									1
1							5				4							3			2					1		1	2		6							46					8	2		1			140				10			1	3													1					1							1	1													1			8		1										135		68					1		6		71						2										3										1															1		1			1									
1																		12																				7						2		1			76				1				1																															3													1										38		18							4		12																																																							
							6		4	2	4			1				27			4			2		11	1			1	2							30								1			93				1			1	6					1					1								7	2										1		1							1		1	21	5		4										45		38					7		8		89		3		3												6																									3														
							8				5				1			11			8			2					3		8							22					13	3		2			482				9				3			1					2					1	1					1											3	5							2			4	5	1	1										234		91					2		2		234			1			5										5																									1														
1							14			2	2							18			2	1		1	4			2			9				3			36						5		4			173				6				4														1		2	1									1				1		1					1	5		2	3	15		5		3								286		48			1		3		4	1	307			1			5	1								3	2														1											2	1	4						1						
							16				9							11			1						1	1			2							3					6	15		5	1		364				11				1	1															1			1						5	1				2								1				14		4										413		91			4				1		309						7	1									9										1															2		5												
2							13				6							12			5						1				3				3			13					6	2					321				16				6														3				1							7		1				1							4		1		13	2	5										393		89			2		2		2		340			1			3	1									7														2											10	1	4												
1							8		2		4							26	1		1				1			2			6							19					6	4					223				11				2														1				1							1					1								2				11		2			1							351		79					3		3		237						3									1	6		1												2	1										4					1									
																					2				1						1																		18								1																																						1				1				1								13		9									14																										1																													
							14				8							13			5			1					3		4				8			14						10		6			300				17												1								1	3	1								1				1				1				2	1		2	21		5		17								456		37			2		6		9		319						1	2																																		1		2					1							
							10		2		6							9			2							1							1			23					3	3		7							15				2														2			1	1							3					3								4	1			24	1	2										194		60			2		2		1	1	124			5			2					1					4										4															2		3			1									
							17			1	3							15			6	7		1	4			1	1		4				1			19						1	1	3			163				7																					1	2	1						2	1				2											4	26		1										407		72			2		3		8		370			1			4									1	4																									2		1					1							
					1		10			1	7							9			2	1		3							6							11	1				1	8		1	1		151				14				1								1								1	3	2												5				1				3		1	1	14		7										654		85		1			1		17		298						2										1														1											2														
							13			2	8							13			10				2	1		1			4				4			10						6		2	1		157				6				4								1						1		2		3	1						2	1				1								4			5	18	3	18		3								574		59	1		1		3		15		345						3	1								1															3													3												
							9	1	1	3	1							12			2	2		1	1			1	3		4							12	1					4			1		120				5				6								3					1			1		1	1						1					1								3	2		2	21	3	3		1								412		82		1			4		15		250						5										2										1				1	1							1			4		2												
							7		3		3							8			5	1		2				1			2							8					2	3	1	1			171				5				1		1						2										2	2	1						1				2								2	1		1	13	2	1										316		108					4		20		236						2										1																									3					2									
1							7		2		1							9			4	1		4					1		10	1						2											105				2				5																		1												1								10		1		15	1	3										325		106					3		18		240			2			3																																			3		1												
3							1	1		1	2							8			4			3	4		1		2		8				6			9						11	1	5			203								1		1												2			3		1								2			2				1				6		4	4	14		6										408		68							10		207						2																								2		1						1					1												
							1			1	1							9			4	1		1					3		5							2						5			1		178								2								1							1	1			1						1					4	3							2	1			6		2										588		78			1				43		282						2																																			2		1												
2									1		5						1	2			5			1							4							7						5					237								1								1		1				1					5												1				1			1	2		4	8		1										264		53					1		12		164						2										1										1				1												1	1			1									
							11		1	2	2							9			3	1		2	2				1		5				1			3						2	1	2			56								3														1					3	1										4	2							1			1	21	2	6										282		100					2		24		299						1										1										1						1											2												
							3	1	1		3							2			1						1											3						1					138								3																	1													2								2	1	1		4		4										132		31			2				9		98															1	2														1																1									
							9		1		1							6			3	1									2							3						2					193																									1	1	2						1				1									2			1	7	2	7										286		60							20		262																1						1				1				1											1														
							6	1			1							7			2			10			1				2							3					1	1		4			198									1							1						1		1	1		1						3														1	3	1	8		3	1									199		52					1		11		80						1										1							2							1											1														
							5				1							8	1		3				1		1		1		2				1				1					2		1			21																																																1	1	10		4		1								317		27					1		12	1	178					3	3									1	1							1																		1					1									
							9		1		1							6			27						1				4							6								2			32				1				4		1								1																														1	2	8												160		17					3		7		145																3																									1														
1							20	1			6							16			7			2				1	1		3							5	1					1					256				6				8	1							1																	3					3	2							6				12		3										491		74			2				30		219						1										4															1										3	2				1									
							23		1		8							6	1		3			2					4		5							3					2	1		1			129				6				5										1						1		2	5						1					2				1				12		1	3	30	2	6										382		72					1		11		310						2	1									1										2				3											2		2												
							9		1		1							19			3	6						1	1		1	1						9					2	2		1			200				8				2														1				1	2																			6				13	1	10										380		107			1		3		12		197						4										4															1										2	1													
							6		1	3	1							4						2			1	2			6							6	1							1			48				1				1										1						1	1		3	1										1					5			2				4		5										251		92			1		2		12		178						3										2																									1		1												
							6		1		3							2			1			1	1						1							1						2		1			160				4							1												1					1											4							1		1	1	7	1	1										666		59			1		3		21		204					2																										1												1												
					1		10				4							8			7				1		1				13				2			9						4		3			86				3					1													1				1								1							2	1	1			4				6		4										495		60		3	1				21		207															1	2														1												1	4			1									
1							4											5			4								1		5													2		2			150				1																		1				1	2										1		3							2	1			1	1	1		1								529		50	1	1			1		19		146															1	3																																							
							11				4							10			1	1		3		1			2		4				1			7						2		4		1	27				2					1			2				1					2					2												1	4				5			7			1	3		12										220		124			3		1		27		188					2	1										3																									2														
					1		9		1		2							9			2	2						1	2		12							13						3		1			71				4				3														5			1	2	5									1			2							2		1		8	1	3				1						967		95					2		36		223																										1				3											1		2			3									
							2				1							4			2						1				3													1		1			75				1				1								1						1					1												1				1			3			1	1		1		2								219		46							23		64						1																																					3												
							8		2		4							11			5	5		2							11			1	1			2						1		1	1		186				2				4														3			1		1	1										1								6		3	2	15	1	13		1								547		79			2		2		15		204					2	4	1									1														4													1			1									
							1		2	1								7			1										1							1											60				3								1															1											1					3					1		7		6										400		56			3		1		15		117			1		1	1																								1	1										1		1												
							12		3	3	5							7			4	1									3							1	2					1		2			131				1		1		8																	3		1						1		3											6		2	2	22	1	8		1								363		100		1	1		1		31		195						2										2														3	1												1												
6							8				4							13			2	1				1					6	1						8						1					122				1						1	1												2	1	1		2						1	2				2		1	1					4		6	6	17		6										407		99			4		3		12		176											1					1										1						1									1														
1							5				3							12			2			4							4	1						5	1				3	6		2			222				6														1			1																	1	5							6			2	24		6		2								857		93			1		3		27		219			1			1										4														2											2	1	1												
2							4		2		1							2			4								3		7							5						1		1			62				1				1				1												1	1		1							2				1								3		1	3	3		1										186		48	1		3				24		91																2														1											1														
							5			1	2							8													3	1						1					1	3					73																																		1					1							1	1			5	1	10		1								614		41	1	1	1		1		30		153															1	1														2													2												
1							4				4							2						2	1		1				5				1			15						4	1	2			213				5																					1		1						1					4								1		3	2	26		4										310		102		2	2				18		115						3					2					2										1				1	1															1									
							6			2	4							14			5			2		1					13							2	2										304				8				4										1								1	1		1								1									2		3	7	7	1						1					421		91		3	8		3		7		130				7												2												1													4														
1							5		1	3	6							7			2			1					1		6							6						3		1			304				6				9						1											2	1	3						2				1	2	3							3		5		11		3										392		95			1		3		12		173						2					1																			6											2		1												
							10		1		6							17	1		2	1		1		1		1			8			1	5			7						1		2			153				8								1				1										1	5	1					1	1				1	1							2	1		2	14	1	8										272		75			2		1		5		202			1		1	6																				1						1									1	1	1			1									
3				1			3	1		9	6							7						1							11							5						2		1			105				7				2	2												2	1		1		2												1	4							5	2	4	4	16		3				1						362		82			5		1		7		135						2					1				1											2				4													1												
3							4	3	2									8			3	1		1		2					6							14					2	8					362				1				5	1														1			2	1	1											1							14	1	7	12	20	1	4										425		66			1		3		13		251		1				4										8										1				1	1										3		1												
							3		4		8							14			4	2		2					4		1							3					2	3	1				234				1				3								1					1					1	1						1					2	6							15		1	1	5		7				1						560		75			4		4		112	1	276						4					1												1																		1		2												
							2				3							4			2	1		3				1			5							1						1					228																		1								1	1	2							1			1					1			3				6		4										525		61		1					188		150																														2													1												
1							5		4		5						1	13							1				1		1							3					1	2		1			248				2				2		2						1							1			1	1											4	2			1				1		6	1	12	1	3										321		113			5		1		24		79					1	4																								1											1		1												
											3							1			2			1				1							1			4								2			70				2				1																				1																		2	2			4		4		1								466		41		1			1		23		91											1				2	1																1																							
							5				2				1			10			3	4		1				1	2		10							8	1					3					140				6			2	2								2									1	1	2								1	1		5	6							9		1	2	9		9		1								490		84			2				17		159					1						1					4																1											2												
							2			5	4							9			12	1		1							6							6	1					4	1				40		1		3														1						2	1		3	1						2	1			3	2		1		7			12			2	5	2	17		1		1						437		53			18		3		33		326					2	1									1											1				2	2										5	3							1			1			
							5	3	2	1	6							9			7			1	1						8															1			338				3				4															1		2	1	2						1					1	2							1		3	2	8												990		122			2		3		29		186						2										1															1										1		1												
							12	1	1		1							7				3		2	1						3							9						7	2				161				2			1	1					2														6	2					1					1								14			2	37	1	20										937		50		1	2		2		25		415						5										4														3																1									
				1			6			5								7			4	2		1							7							5					1	2					81				1				4										1				1					6						1					2				1				17			6	27	1	17		1								617		64		1	3				16	1	364															1	1										1															5	1				1						1			
							5	1			2							15			4	2									2				1			15	1					3			1		140				1		1		1	1							1		1				2	1			1	5										1	1	2		1					19		1	7	44		14										484		33		1	3		1		33		301			1			4										1														2	2												4												
		1					8	1	3	1								10				6		2				1			4				1			11						1		2			49				3				1																1		1	6				2							1					23			26		1		4	4	29										371		38		1	4		2		23		424						3									1	2										1				2	1										5		1												
							6			1	2							4			4	2				1					3							17						3		1	3		51				2				3								7							1	1			1						1	1					1							25			10	14	1	22		1		1						241		53		1	3		1		13		269						1	3									2							1																		4	1	4												
							4				1							9	1		3			1					1		10				1			12								1			59				1				3								1									1		7											1								39			2	27	3	43		1								357		28					1		15		424			1													1														1		1									1		1												
3							5		2		1							7			3			1							3				1			9		1				3		1	1		211								5														1					3							2				1	1			1				27		3	6	31	1	11			1							413		58			1				14	1	273						2					1					3								1		1					1										3		1			2									
							11	1	3		3							3	1		9						2				4							10											93				1			1	2										10				1		1		1	3										1	1								19			2	22	3				1							863		19							42		482																3																									6														
							9				1							9			17			3					3		8							10						2					55				4				5														1		1		1	6	1										2	1							29	1		4	28	2	15										643		39		1			3		35		726																1										1				1											2		2												
2					1		6	2		2	1							2			5										5	1			2			24	1				2	1	1				100				4				2								1					1	2	1		2		2											1								33			2	33	1	9		1								267		46		1			4		25		402					2	1										2										1				1	1	1									1		1												
							3			1	2							7			6	2		1	2						2							5											34				1				2				1						2				2	3				2						1					3								27		1	1	23		26										397		54			1		3		22		266						7					1					6														2	1										2	1	5			1									
	1						11		2	1	3							7			2			1	2			1	2		6							12	1				1						72				3				1			1							3			1			1		1	1	1										1								38		2	5	25	3	20		1								247		11		1	2		3		22		469						2	1					1			2	1										1					1	1									10		2												
							8		1	2	1							8			5			3	1						8				1			17						4	1				109								3			1					1						1	1		1	1	6											3	4							50		1	4	33	3	15				1						266		30					1		12		445						2					2				1															1											2		2												
							1			1	4							4			4	4		1							6				1			7						2					70				4				2				1				1						1		3	4		2											4	2		1					51			8	29	2	26										284		35		2			3		25	1	520											1				1	1																														2									
		1			1		11		1		1							6			6								5		8							8						2		1			104				1																		1	1				5	2								1		1								41				40		12				1						357		32					1		46	1	351						1									1	1															1										2	2	3												
					1		6				1							7			5			1	1						2							10					1	2			1		93				1				3								3						1		1		1	8						1					2	1							42				23		24										430		36					1		55		515						3										2														2											1		2												
	1						5	1	1		1							4			1					1	2	1	3		11							21	1						1	1			68				3				3			1						1	5						1		1	6															1				60		1	1	23	1	12						1				161		11			2		1		33		255						1	2								1	3															1										1	1													
1							7		1	1	1							8			1	2		1							3				1		1	31	1				1	15					156				3				4			1					1						2				1	7						1				1	3	1							36		1	5	39		4										161		28		1					13		294						3					1					2										1				1	1												1												
							4				1							4			2	2									5							31						2					120								1		1			1					1				3	1	1			3	1					1													44			6	34	1					2						157		32		1	5		1		17	1	295			1		1	4										1										2				1	1										1		1												
							5		1		7							3			9	2							3		9							8	1					4		2			72								7								2											5											1	5							56			6	22	1	15										358		26		3					106		502						6	1									1														2													1												
							6				2						1	11			5	1		2	1			1			5				2			5						1		2			58								7		1						2		1						3			2											3	7							67			5	12	2	6				1						142		23		4	1		2		33	1	349						1									1	4														1		1									3		7			1									
							5	1	2	1	1							6			5			2		1	1	1			12							20					1	1		2			82				2				5				1				2								1	1		6											2				1				41			5	11		26										202		11		1	1		6		41		388		1					1									3				1										3	2										2	1	4												
							2		1		2						1		7		2	3		1	2	3	1				5							40					1	1			1		118				1				2			2					1		1				2	1	2		1	2						1					1								55	1	1	8	12		1			1							109		24			3		3		21		295					1	6										3						1								1	1										1		1												
							3				1	1						6			8	1			1				3		15				1			17						19		3	1		142				1				1		1														1		1	3											2	2							71			7	14	2	3										227		26							32		394					1	12										6														2											2		2												
1							4		1	5	1							8			8	3			1	2					5				2			18						10		1			54								2			1	1						3							2		4											3								47		1	5	21		3		1		2						101		22					2		13		276						7					1				1	1															3										4		2			1									
							10			1	3							5			5	1		4				1			12				3			24	2					3		1			88				1				4								1						1				1	4											3								43		1	1	25	2	4		1		1						235		20			3		1		44		423			1		1	6																	1							2		1									1		7												
							4			1								9	1		2					2			1		11			1				35						5					18								2								1					1			2			5	2										2			1					52			5	26		5				1						123		30		1	3		1		11		387					3	2									3	1										3				1	2										1		8			1									
							7		2	1	1							7			13	1					1		7		8				4			13						6		1			211				2				4	1							3						1			1	1	2											4	1			1				50			2	18		4										331		19	1		2		2		70		529						6	1				1				2	1															1												5												
							9				1						1	5			6					2	2				6				1			5						8		1			114								1								1		2						2				2					1					3	2							61		1	8	21		12				1						226		22		1	1		1		77		381			2			8		1			1					2										2				1											1		1												
							5		2									8			5	1		2					3		5	2			2			16						13		2			90				2					1		3											2	1		1		10											2								51			3	18		6		1								236		18					1		61	1	412					1	13					1				2	1																											2												
1							10			1	1							5			38			1		3	6				4						1	24								3			39										2								2						1		1									1			2	3							28		1	28	4												141		6					3		54		291				5								1	3			6										1					1										2														
4							5											5			9	2		1	1	1	1		2		5	2						41	2				2	11		1	1		150												2				1						1					6											1					2			53		2	16	10		5		1								125		18			5		1		12		294						1	1	2														1				4				1	1											1	2												
1							2											8			9	1			2						10							56						9	1				67								1										1				3					5	1										2								35			4	14	2	2				1						132		12			6				16		223						6					1				1	4										2				5	1										1		3												
2							4				1							5			12			1		2	1		4		10				2			25	2					15	1	1			276												3	1			1											4										1									53	2		18	9		3										114		22			4		2		15		258						7	1									6										3					1										1	1	3												
							1			1	5							2			3			2	1	2	3	1	4		12							42	1				1	4					68				1								2	1					3						2			6	1						1				4								45		1	7	9	1	9		1		2						77		1			3		2		8		230						2	1								1	8										1				3											5	3	2									1	1		
							3				3							6			11	1							5		10				1			14						16			1		70								1								1										1	14									1		4	4							44	1		2	12		6		2								312		11			1		1		19		475					1	9					1					7														1											1		7									1			
1							5	2	1		2		1		1			2			2	3		1					3		10							42	2					6					124				1				5		1						1		1				1		1	2		5						1	1				2	1			1				43		4	15	9						2						149		21			1		6		9		190						7					1				1	4							1			1				3											2		5												
							4			7	1						1	7			3	2		1	4	1	2				10				4			35	1					13					93				1				9	1	1						3						1				1	3							1				1	1					1		47			6	23		5										206		21			11		5		6		320						10	1				1				1	8							1								1										2		2												
	1			1			1	1		1	10							1			2			1	1	1	1	1			8				3			22				1	2	8		1			61												1						4							1		5											3								50			4	18	1	11		1								111		6			10		1		11		369		1				8										4				1										3		1									3	2	7									1	1		
					1		4		1		2						1	5			3	1				2	2	1			4							44					5	20					210				1				19		3	2					3						5	2		2		8	1						1				4								42			12	20		8										120		20			5		8		6		230			1			14					1					7										4				1											4														
							3		1	3	3	1						3			1	7		1	3		2				2				4			25						13					49								4	1	2		1				1									1		5	1					1	1				1	2							32		1	1	22	2	2				1						207		18			7				21		355						18					3					5										1				2											6		4			1									
1							1	1			12							13			8			1	3	2	2		5		7				2			32						5		2			82				1				1	1			1				2		2				5	2			1	3						1					4	1		1					25			4	15		3				2						150		26			5		4		14		338						11	1									1							1							5	1										2	1	4			1									
						1	3	1			14	1						11			3			2		3	1				3				4			30				1		7	1	2			51				2				3				3						5						1	1	1	3											5								30			5	16	2	12		2		1						114		3	1	1	8		3		13		325		2				5										5															1										3		5									1		1	
							4	1		2	2							10			6			2	1		1		1		8				3			27						14		1	1		91				2			2				1	1				1						1			1		4											2	1							27		1	5	30		2		1		1						113		21			9		6		13		297			4			11										1										2															6		1			1									
		1					10			3	10	1						6			9				2		1		2		10				4			16						11		3			74				1				1			1							1				4					8								1			1	1	1	1					20		1	1	17	2	2				2						462		15		2			2		29		468						7	1									4							1								1										2		4												
							4		1	1	50							3			1	3			1	1			1		4				2			26						9	1	2			71				3																		3		1		1	7											1	1							14			2	27	1	1				2						98		25	1	1	4		2		14		210			1			5					3					3																									1		2			1									
2							3		1	1	30							8			1			2	1		1	3			8	1						29	2				1	6					95				2				1								1		3						1			6											1	2		1					19		2		20	1	14		1								164		17			3		4		11		354						6						1			1	5						1				1																1	2												
							7											5			1					1	1				4							33					1	9		1			155			1	1				6								1						2	2	1		1	5											1	2			1		1		42	1	1	8	18		2		1								74		25			4		4		15		203						8					1					4														3											1	1				1									
							2				3						1	7	1		8					1			1		2							12						12		1			232								3				1										1			1		6									1		2	8							51			9	10	1	4				1						243		31		1	4		3		59		412			1			11										2										1				1											1		1												
					2		4											7			6	1			1	3	2				3	1						43	1					9	1	1			168								5		2	1											4	2			2	4											2								56		2	20	15	3											143		17		1	2		1		24	1	261						6										6							1			5															4														
							6				3			2				7			5			1		2	2				13							27								5			124							2	2		1		3						10				2		2		1	4		1									1								35			18	8	1				2	1	1					137		16			2		1		5		233																6				1						8															1														
							2		1	1	1							8			9	2		1			1				6							28						27		1			77				1							1							2								3	6						1					11	8							38			1	22												444		21			1		2		63		375			4			25																										1									3		2			1									
							8			1	1							3			7	2					1		1		6							21						22		1			34				2				1			1					1						1	1				4									1		3	1							45				18		2										128		24		1	2		3		13	2	269						15									1	1										6				1	1												2			1									
							4											5			14						1	1			9							4						14		2			157								2			1							2			1	2		2		2	5						3					2	13							53			12	2		3										208		24		1			1		41	1	212						14										2							1							1											1		4												
							3	2										8			2					2	4				7							29					1	5		1			15		1														1						2				1	3												2							57	1		10	11		6				1						157		12		1	10		2		10		253						16									1	2																							1		2		2												
							1											3			5			1		1					5	2			1			35						14	1	4			166								1		1	1					2		1				4					7							1					1							50			9	8		4				2						108		17			4		3		10		155						17									1											1					1												1												
1							3			2								5			4	2							2		8							38						13		1			104								1	1		1					1		2				3		1			1									1		2	2							42			4	7		1		1		1						133		36	1	1			1		30	2	160					1	9		36							1	1										3				1											5		1												
					2		11	1	1	3	3	1						13			7	9		2	3	1	1		1		19	1		1	2			68						38		3			160				1			1	4		1	3	1				1					1	3		1	1	1	11											7		1		1				86	1		9	42	1	6										715		49			7		5		28		669						31	2								6	1														6		1									9		1			4									
	1						15				1							6			6	1			1		2				10							24						1		4			31		4		3								1						5	1					2	1	2		3									2	5								60			7	3	1	4										233		9	1	1	3		2		7		355						3						2			1	3															1		1								1														
							6	1	1	2								5			3	7					2				6							18						35		1	1		46				2					1		2							1				3	1		1		1						3	1					1							47			2	11	2					1						300		25							11		326			1			18										3										1				2											3		1												
							5				1							2			4	1				2	1				6							45					4	13	1	4			153								4					1			2						4			2	1										1		1	2					3		45		1	9	14		3				1						186		17			2		1		6		223			1			11										5								1		1				6	2										5														
1							4			1								5			3	1			1		3				9				1			30						19		1			64				2				4			1	2				3						3	1	1	1		2											1	1			1				31	1		6	20		1		2								252		40			9		2		23	1	263			1			11										5										4															6		2												
					3		4		1		3							2			3	4		1			1	2	1		6				2			5						15			1		136				2				3				1									1	1					6											3	2							40	1	1	8	15		2										459		29					2		22		375						17					3					2														5	1										3	1	5												
							9		1		2							9			1	2		2				1			8				2			12						15		1	2		45				3				5	1																		2	1					2					5	1							34	2		3	19	1	6										297		22			7		1		14		303			1			21					1					2															1										3		1												
1					1		7	1			4						1							1	1		1				3				1		1	30					1	21	1	3			154				1				8	1	4	1					2						2					4												2					1		41		1	6	20	1	3										171		25			6		3		6		214					1	19					2					4							1	1		1				1	2										4		5												
							5		1		3	2						4			7	2			1	2	1				8	2			1			27						12		4	1		91								3			1					2		1				1	2										1					3								25	3		1	17				1		2						149		37			9		5		18		217						13									1	2															2										7	1	2												
	2				1		3	1	2	2	17							2			2			3	2		1				7							28					1	11		1			68		2		3				2		1											1			1			7	1									1	8								30		3		24	3	7										218		20			5		1		5		212						4						1			3	2																									6	2	1												
3							1		4		26							8			5						1				3	1						27						4		4			202				2				10										1				3			1		2						1				1		2							18			6	15		5				1						86		29			4		3		7		93		1	2			15					1					2						1				2															1	1	1			2									
3							5			2	3	1						7			8	6							1		7				1			32						15		5			96				2				2		1	2					2						1																2	2		1					43			2	17		1		1		1						176		26		2	6		1		14	1	258			1			14										2										2				4											3		4												
					1		3			3	2							8			5								3		10							26	2					10		3	1		87				1				4	1									1						1	1		2								1			1								37	2	1	6	12	2	6		2		1						339		36		1	5		3		39		354			1			11										3							1							1	2										4		2										1		
1										2				1				6			15					4	3				12							42			1					4			53				2				4		3																2	2										1									48	1		20	4	1											119		16	1	2	8		3		9		187																5															1										1														
							5				1							6			10	2		1					4		4				2			15						23		3			71							1									1		1				1			1													4	2							44		1	3	16	1	3										208		37		1	1		4		32		240						12					1				1								1			1					2										2		3												
							5		2		2							8			2	3		1	1		2		3		4	1						45						16		3			55				2				1	1		1					1		1				3		1		1	3						1													53				14	1											276		29		1					13	1	272						19					1					1							1			2					3										8					1									
2							5		1		1							5			4	1		1							12							41						13	1	2			86				1				2														2			1								1					1	3							47	2	1	12	14	1	1				1						195		49		2	2		1		21	1	219			2			22										1										4															1	1	3												
							1			1								3			4			1	1	1	2				9							31	1					9	1	4			32								1				3				3		1						1	2													3	1							43			5	10		2										326		18			9		2		10		159						5										9				1										2	1												7									1			
2					2		2		1	1								7			8	6			4		4		1		9							29						15	2	1			57		2									3	3				3								1														3								55			7	14		3				1						170		24		1	5				6		177			1			18					1															4				2													2												
					1		1											2			4	2					1				4							22						15		4			52				3				2				1				2								3			1						1	1					1							45	1	1	4	15	2	2				3						267		32		1	1		1		32	1	299						18										1										1				2	1										1		4												
							2					2	1					4			4	4			3	2			2		7				1			32						23			1		59								4				2						1				1	1	1														1								55		2	4	3		3				1						141		21		1	1		2		16		175			2			15	1				1					5										6				1											1		2												
	1						4											5			3			1	1	2	5		4		12							23					1	9		4			64				2				3				1					2	3						4	1									1				4	3							74		3	9	15	3	5		1								93		23	1		2		2		16		305						6	1									5														2	1										4	2													
					1		3	1										9			1	3		1	1						10							39	2					21		4			49								3			5					1					1	2		1			1						1	1		3										54			1	11	1	4		3								199		25			6		1		9	1	153					1	12					1															4				1											5														
					2		4				2							5			3	3			2				1		9				1			29						23			1		62								2				2						2					1			1									1			2								67	3		2	14		2				1						287		19			2				6		212						18									1	3							1			4						1									2		3												
